Table_Name,Count_Unique_Products,Total_Products
AMAZON_BEAUTY,112910.0,8833131
AMAZON_GROCERY_AND_GOURMET_FOODS,172907.0,20324943
AMAZON_HEALTH_AND_PERSONAL_CARE,276523.0,21821035
AMAZON_HOME_AND_KITCHEN,310266.0,11237896
AMAZON_SHOES_AND_HANDBAGS,66449.0,4432669
GIFTED_AMAZON_BEAUTY,45817.0,5120168
GIFTED_AMAZON_GROCERY_AND_GOURMET_FOODS,47441.0,8360291
GIFTED_AMAZON_HEALTH_AND_PERSONAL_CARE,93260.0,12898241
GIFTED_AMAZON_HOME_AND_KITCHEN,123334.0,8229088
GIFTED_AMAZON_SHOES_AND_HANDBAGS,31741.0,2389174
MOVERS_AMAZON_BEAUTY,3608.0,45750
MOVERS_AMAZON_GROCERY_AND_GOURMET_FOODS,3723.0,51600
MOVERS_AMAZON_HEALTH_AND_PERSONAL_CARE,4339.0,46500
MOVERS_AMAZON_HOME_AND_KITCHEN,2866.0,15700
MOVERS_AMAZON_SHOES_AND_HANDBAGS,3490.0,27577
NEW_AMAZON_BEAUTY,15822.0,417087
NEW_AMAZON_GROCERY_AND_GOURMET_FOODS,5245.0,174204
NEW_AMAZON_HEALTH_AND_PERSONAL_CARE,26334.0,1247807
NEW_AMAZON_HOME_AND_KITCHEN,2857.0,57055
NEW_AMAZON_SHOES_AND_HANDBAGS,3487.0,123710
WISHED_AMAZON_BEAUTY,79778.0,5496896
WISHED_AMAZON_GROCERY_AND_GOURMET_FOODS,94579.0,12033362
WISHED_AMAZON_HEALTH_AND_PERSONAL_CARE,167240.0,14498881
WISHED_AMAZON_HOME_AND_KITCHEN,154188.0,11102558
WISHED_AMAZON_SHOES_AND_HANDBAGS,35229.0,2609525
