Slide_No,Chart_Title,Variable_Column,2018-19,2019-20,2020-21,2021-22,2022-23,Unit
2,Domestic Sales - March Performance Mar '23,Passenger Vehicle - March Performance,291.86,135.20,290.94,279.53,292.03,In '000
2,Domestic Sales - March Performance Mar '23,Three Wheeler - March Performance,66.27,27.61,32.31,32.14,54.36,In '000
2,Domestic Sales - March Performance Mar '23,Two Wheeler - March Performance,"1,440.59",866.85,"1,496.81","1,198.83","1,290.55",In '000
3,Domestic Sales - Q4(Jan-Mar) Performance Mar '23,Commercial Vehicle - Q4 Performance,284.05,146.90,210.36,249.81,278.88,In '000
3,Domestic Sales - Q4(Jan-Mar) Performance Mar '23,Passenger Vehicle - Q4 Performance,844.13,655.60,933.58,920.69,"1,018.36",In '000
3,Domestic Sales - Q4(Jan-Mar) Performance Mar '23,Three Wheeler - Q4 Performance,180.19,129.81,86.76,83.39,153.65,In '000
3,Domestic Sales - Q4(Jan-Mar) Performance Mar '23,Two Wheeler - Q4 Performance,"4,653.06","3,502.64","4,353.60","3,389.79","3,604.59",In '000
4,Domestic Sales - FY(Apr-Mar) Performance Mar '23,Commercial Vehicle - FY(Apr-Mar) Performance,"1,007.31",717.59,568.56,716.57,962.47,In '000
4,Domestic Sales - FY(Apr-Mar) Performance Mar '23,Passenger Vehicle -FY(Apr-Mar) Performance,"3,377.39","2,773.52","2,711.46","3,069.52","3,890.11",In '000
4,Domestic Sales - FY(Apr-Mar) Performance Mar '23,Three Wheeler - FY(Apr-Mar) Performance,701.01,637.07,219.45,261.39,488.77,In '000
4,Domestic Sales - FY(Apr-Mar) Performance Mar '23,Two Wheeler - FY(Apr-Mar) Performance,"21,179.85","17,416.43","15,120.78","13,570.01","15,862.09",In '000
5,Passenger Vehicle: Sub-Category - Q4 Performance Mar '23,PVs - Passenger Cars - Q4 Domestic Sales,528.65,404.20,513.77,437.27,447.48,In '000
5,Passenger Vehicle: Sub-Category - Q4 Performance Mar '23,PVs - Utility Vehicles - Q4 Domestic Sales,259.22,220.31,383.64,453.21,534.13,In '000
5,Passenger Vehicle: Sub-Category - Q4 Performance Mar '23,PVs - Vans - Q4 Domestic Sales,56.27,31.09,36.18,30.20,36.75,In '000
6,Commercial Vehicles: Sub-Category - Q4 Performance Mar '23,CVs - LCV - Q4 Domestic Sales,171.64,98.36,129.82,155.83,161.17,In '000
6,Commercial Vehicles: Sub-Category - Q4 Performance Mar '23,CVs - M&HCV - Q4 Domestic Sales,112.41,48.54,80.53,93.97,117.71,In '000
7,Commercial Vehicles- Passengers & Goods - Q4 Performance Mar '23,LCV Goods - Q4 Domestic Sales ,155.46,88.19,125.16,148.89,147.13,In '000
7,Commercial Vehicles- Passengers & Goods - Q4 Performance Mar '23,LCV Passenger - Q4 Domestic Sales ,16.18,10.17,4.66,6.94,14.04,In '000
7,Commercial Vehicles- Passengers & Goods - Q4 Performance Mar '23,M&HCV Goods - Q4 Domestic Sales ,100.00,37.73,75.79,88.61,103.33,In '000
7,Commercial Vehicles- Passengers & Goods - Q4 Performance Mar '23,M&HCV Passenger - Q4 Domestic Sales ,12.41,10.81,4.74,5.36,14.39,In '000
8,Three Wheelers - Passenger & Goods - Q4 Performance Mar '23,Three Wheelers - Goods - Q4 Domestic Sales,36.21,24.55,29.08,22.94,29.16,In '000
8,Three Wheelers - Passenger & Goods - Q4 Performance Mar '23,Three Wheelers - Passenger - Q4 Domestic Sales,143.98,105.26,57.68,60.45,124.49,In '000
9,Two Wheelers Sub-Category - Q4 Performance Mar '23,Two Wheelers - Mopeds - Q4 Performance,218.30,141.14,155.14,109.28,108.88,In '000
9,Two Wheelers Sub-Category - Q4 Performance Mar '23,Two Wheelers - Motorcycles - Q4 Performance,"3,057.45","2,259.42","2,820.68","2,188.29","2,291.00",In '000
9,Two Wheelers Sub-Category - Q4 Performance Mar '23,Two Wheelers - Scooters - Q4 Performance,"1,377.31","1,101.81","1,377.78","1,092.22","1,204.71",In '000
10,Q4 Export Performance Mar '23,Commercial Vehicle Exports (Q4),24.33,14.00,20.04,27.36,17.70,In '000
10,Q4 Export Performance Mar '23,Passenger Vehicle Exports (Q4),165.89,121.85,113.23,153.88,171.85,In '000
10,Q4 Export Performance Mar '23,Three Wheeler Exports (Q4),139.23,111.42,121.61,113.68,62.05,In '000
10,Q4 Export Performance Mar '23,Two Wheeler Exports (Q4),767.65,834.57,"1,105.68","1,101.90",700.76,In '000
11,FY(Apr-Mar) Export Performance Mar '23,Commercial Vehicle - FY(Apr-Mar) Performance,99.93,60.38,50.33,92.30,78.65,In '000
11,FY(Apr-Mar) Export Performance Mar '23,Passenger Vehicle -FY(Apr-Mar) Performance,676.19,662.12,404.40,577.88,662.89,In '000
11,FY(Apr-Mar) Export Performance Mar '23,Three Wheeler - FY(Apr-Mar) Performance,567.68,501.65,392.94,499.73,365.55,In '000
11,FY(Apr-Mar) Export Performance Mar '23,Two Wheeler - FY(Apr-Mar) Performance,"3,280.84","3,519.41","3,282.79","4,443.13","3,652.12",In '000
